ID;Host ID;Host Since;Neighbourhood;City;State;Zipcode;Latitude;Longitude;Property Type;Room Type;Bathrooms;Bedrooms;Beds;Bed Type;Square Feet;Cleaning Fee;Availability 365;Review Scores Location;Cancellation Policy;Accommodates;Reviews per Month;Minimum Nights;Price;Monthly Price;Weekly Price;Occupancy
15796072;99754382;2016-10-15;Acacias;Madrid;Comunidad de Madrid;28005;40.39901098503021;-3.701870752896548;Apartment;Private room;1.0;1.0;1.0;Real Bed;;10.0;168.0;9.0;flexible;2.0;3.41;1.0;25.0;;;0.24357142857142858
9294338;48255117;2015-11-05;Chopera;Madrid;Comunidad de Madrid;28045;40.39471006387876;-3.695635087060943;Apartment;Private room;2.0;1.0;1.0;Real Bed;;10.0;41.0;10.0;moderate;2.0;3.42;2.0;35.0;;;2.001951219512195
4074424;21131208;2014-09-09;La Chopera;Madrid;Comunidad de Madrid;28045;40.39906287739359;-3.699885453199004;Apartment;Private room;1.0;1.0;1.0;Real Bed;;0.0;54.0;8.0;flexible;2.0;0.03;1.0;39.0;;280.0;0.006666666666666666
7035211;36883916;2015-06-27;Legazpi;Madrid;Comunidad de Madrid;28045;40.38576204781901;-3.691699628216289;Apartment;Entire home/apt;1.0;1.0;1.0;Real Bed;;30.0;0.0;;flexible;2.0;;10.0;50.0;1000.0;350.0;0.0
8041484;42466084;2015-08-25;Delicias;Madrid;Comunidad de Madrid;28045;40.39220064138613;-3.690509742276985;Bed & Breakfast;Private room;1.0;1.0;1.0;Real Bed;;0.0;286.0;10.0;moderate;1.0;0.27;4.0;30.0;600.0;250.0;0.04531468531468532
5872562;30494183;2015-04-02;Legazpi;Madrid;Comunidad de Madrid;28045;40.38885601254157;-3.689388910838053;House;Private room;1.0;1.0;1.0;Real Bed;;0.0;342.0;9.0;moderate;2.0;3.52;1.0;25.0;350.0;175.0;0.12350877192982457
4036792;20929570;2014-09-04;Delicias;Madrid;Community of Madrid;;40.40081256550519;-3.697649673679856;Other;Private room;1.0;1.0;1.0;Real Bed;;0.0;345.0;9.0;flexible;1.0;0.6;1.0;21.0;;;0.020869565217391303
11312892;4304796;2012-12-02;Delicias;Madrid;Comunidad de Madrid;28045;40.39605757628636;-3.693677235033241;Apartment;Entire home/apt;1.0;1.0;4.0;Real Bed;;20.0;126.0;9.0;strict;6.0;4.39;1.0;70.0;;;0.418095238095238
13062069;8900155;2013-09-17;Delicias;Madrid;Comunidad de Madrid;28045;40.39746795675486;-3.693660392334028;Apartment;Entire home/apt;2.0;2.0;2.0;Real Bed;;30.0;357.0;;flexible;4.0;;2.0;120.0;;;0.0
11559474;46520875;2015-10-14;Delicias;Madrid;Comunidad de Madrid;28045;40.39447413342357;-3.6944975380923952;Condominium;Private room;1.0;1.0;1.0;Real Bed;;0.0;0.0;9.0;flexible;2.0;0.29;1.0;18.0;400.0;120.0;3.480000348000034e-07
10651120;44441832;2015-09-17;Delicias;Madrid;Comunidad de Madrid;28045;40.3948553037039;-3.6915943723575615;Bed & Breakfast;Private room;1.0;1.0;1.0;Real Bed;;0.0;365.0;10.0;flexible;1.0;0.55;1.0;25.0;;;0.01808219178082192
7079116;11124779;2014-01-08;Delicias;Madrid;Community of Madrid;28045;40.39709682756949;-3.6933438665530662;Apartment;Private room;1.0;1.0;1.0;Real Bed;;0.0;218.0;10.0;flexible;1.0;0.19;1.0;15.0;300.0;100.0;0.010458715596330277
