ID;Self Check-In;Smartlock;Air conditioning;Elevator in building;Essentials;Internet;Heating;Pets allowed;Smoking allowed;Pool;TV;Kitchen;Gym
17033161;False;False;False;False;True;True;True;False;False;False;False;True;False
12204859;False;False;True;True;True;True;True;True;False;True;True;True;True
6568035;False;False;True;True;True;True;True;True;True;False;True;True;False
12787732;False;False;False;True;True;True;True;False;False;False;True;True;False
10488687;False;False;True;True;True;True;False;True;True;False;True;True;False
7268832;False;False;True;True;True;False;True;False;True;False;True;True;False
14435238;False;False;False;False;True;False;True;False;False;False;True;True;False
11382556;False;False;False;True;False;False;True;False;False;False;False;True;False
3187475;False;False;True;True;True;False;True;False;False;False;True;True;False
8394827;False;False;True;False;True;False;True;False;False;False;True;True;False
4692716;False;False;True;False;True;True;True;False;False;False;True;True;False
169719;False;False;False;True;False;True;True;False;False;False;True;True;False
15576089;False;False;True;True;True;False;True;True;False;False;True;True;False
10681391;False;False;True;True;True;True;True;False;True;False;True;True;False
17923397;False;False;False;False;False;False;False;False;False;False;False;False;False
17260294;False;False;True;True;False;False;True;False;False;False;True;True;False
12867463;False;False;True;True;False;True;True;False;False;False;True;True;False
15975417;False;False;True;False;True;False;True;True;True;False;True;True;False
10068669;False;False;True;True;True;True;True;False;False;False;True;True;False
1864170;False;False;True;True;True;True;True;False;False;False;True;True;False
14346661;False;False;True;False;True;False;True;False;False;False;True;False;False
3481801;False;False;True;False;True;True;True;False;False;False;True;True;False
4889543;False;False;False;False;True;True;True;True;True;False;False;True;False
5485367;False;False;False;False;True;False;False;False;False;False;True;True;False
10536601;False;False;True;False;False;True;True;False;False;False;False;True;False
17034890;False;False;False;True;True;False;True;False;False;False;True;True;False
14772349;False;False;True;True;True;True;True;False;True;False;True;True;False
6116093;False;False;False;False;True;True;True;False;False;False;True;True;False
16674281;False;False;True;True;True;False;True;False;False;False;True;True;False
5737938;False;False;True;True;True;False;True;True;False;False;True;True;False
799903;False;False;True;True;False;False;True;False;True;False;True;True;False
13410816;False;False;True;True;True;True;True;False;False;False;True;True;False
17244583;False;False;True;False;True;True;True;False;False;False;True;True;False
599977;False;False;False;False;False;True;True;False;True;False;True;True;False
15514855;False;False;True;False;True;False;True;True;True;False;True;True;False
840517;False;False;False;True;False;False;True;False;True;False;True;True;False
14587450;False;False;False;True;True;True;True;False;False;False;True;True;False
17009161;False;False;False;True;True;False;True;False;False;False;True;True;False
14720850;False;False;True;True;True;False;True;False;False;False;True;True;True
6547415;False;False;True;True;True;True;True;False;True;False;True;True;False
15912051;False;False;True;True;True;True;True;False;False;False;True;True;False
560941;False;False;True;True;True;True;True;False;False;False;True;True;False
525410;False;False;True;True;True;True;True;False;False;False;True;True;False
7824021;False;False;False;True;True;False;True;False;False;False;True;False;False
3166655;False;False;False;True;True;True;True;False;False;False;True;True;False
15933969;False;False;False;True;True;False;True;False;False;False;False;True;False
17074874;False;False;False;True;True;False;True;False;False;False;False;False;False
12927266;False;False;False;True;True;False;True;False;True;False;True;True;False
15204209;False;False;True;True;True;True;True;False;False;False;True;True;False
15907327;False;False;True;True;True;True;True;False;False;False;True;True;False
5749070;False;False;True;True;True;True;True;False;False;False;True;True;False
17729317;False;False;True;True;True;False;True;False;False;False;True;True;False
17665429;False;False;False;True;True;False;True;False;False;False;True;True;False
8352261;False;False;True;True;True;True;True;False;False;False;True;True;False
11565429;False;False;False;True;True;True;True;False;False;False;True;True;False
16122151;False;False;True;True;True;True;True;False;False;False;True;True;False
2032336;False;False;False;True;True;True;True;False;True;False;True;True;False
9961253;False;False;True;True;True;True;True;False;False;False;True;True;False
5178521;False;False;True;True;True;False;True;False;False;False;True;True;False
12090014;False;False;False;True;True;True;True;False;False;False;True;True;False
6394264;False;False;True;True;True;True;True;False;True;False;True;True;False
16551828;False;False;False;False;True;False;True;False;False;False;False;True;False
5530985;False;False;True;True;True;True;True;True;False;False;True;True;False
7458317;False;False;False;True;True;True;True;False;False;False;True;False;False
13647455;False;False;True;True;True;False;True;False;False;True;True;True;True
12499113;False;False;True;True;True;False;True;True;False;False;True;True;False
8632310;False;False;False;False;True;True;True;True;True;False;True;True;False
14955854;False;False;True;True;True;True;True;False;False;False;True;True;False
8401524;False;False;True;False;True;True;True;True;True;False;True;True;False
15895802;False;False;False;False;True;False;False;True;False;False;True;True;False
11026861;False;False;True;False;False;False;True;False;False;False;True;True;False
5680795;False;False;True;True;True;True;True;False;False;False;True;True;False
17279929;False;False;False;False;True;False;True;False;True;False;False;True;False
3057923;False;False;False;False;True;True;True;False;False;False;False;True;False
1811287;False;False;True;True;True;True;True;True;True;False;True;True;False
8528953;False;False;False;True;True;True;True;False;False;False;True;True;False
40916;False;False;True;True;False;False;True;True;False;False;True;True;False
13409081;False;False;True;True;True;True;True;False;False;False;True;True;False
9537747;False;False;False;False;True;False;True;False;False;False;False;True;False
16077617;False;False;True;False;True;False;True;False;False;False;False;False;False
10052652;False;False;True;True;True;True;True;False;False;False;True;True;False
1755242;False;False;True;True;True;True;True;True;False;False;True;True;False
10960810;False;False;True;True;True;False;True;True;False;False;True;True;False
6325534;False;False;True;True;True;True;True;True;False;False;True;True;False
16361241;False;False;True;False;True;False;True;True;False;False;True;True;False
16972070;False;False;True;True;True;True;True;True;False;True;True;True;True
13509266;False;False;True;True;True;False;True;True;True;True;True;True;False
3722238;False;False;True;True;True;True;True;False;False;True;True;True;True
9624385;False;False;True;True;True;True;True;False;False;False;True;True;False
17900105;False;False;True;False;True;False;True;True;True;False;True;True;False
649342;False;False;False;True;False;True;True;False;False;False;True;True;False
842286;False;False;True;True;False;False;True;False;False;False;True;True;False
11079684;False;False;True;False;True;True;True;False;False;False;True;True;False
11368499;False;False;False;True;True;True;True;False;False;False;False;True;False
12360014;False;False;True;True;True;False;True;False;True;False;True;True;False
17765425;False;False;True;True;True;False;True;True;False;False;True;True;False
14624603;False;False;True;True;True;True;True;False;True;True;True;True;False
2181669;False;False;False;True;True;True;True;False;False;False;True;True;False
6231229;False;False;True;True;True;True;True;False;True;True;True;True;False
8321952;False;False;True;True;True;True;True;False;True;False;True;True;False
15752993;False;False;True;False;True;True;True;False;False;False;True;True;False
2336469;False;False;True;True;True;True;True;False;True;False;True;True;False
2641385;False;False;False;True;True;False;True;False;False;False;True;True;False
16980216;False;False;False;True;True;False;True;False;False;False;False;True;False
15877500;False;False;False;False;True;False;True;False;False;False;False;True;False
17603045;False;False;False;False;True;False;True;False;False;False;False;True;False
